,Description,Lat,Lon,RackType,RackCount,ShelterIndicator,geometry,within
146,BUS STOP 15059,1.2769850415585358,103.80269723551038,Yellow Box,13,N,POINT (103.80269723551038 1.2769850415585358),TELOK BLANGAH DRIVE
147,BUS STOP 15071,1.2813222178057664,103.78695306037764,Yellow Box,10,N,POINT (103.78695306037764 1.2813222178057664),PASIR PANJANG 1
148,BUS STOP 15149,1.273370110711523,103.80053004728737,Yellow Box,16,N,POINT (103.80053004728737 1.273370110711523),PASIR PANJANG 2
149,BUS STOP 15151,1.2738966434532804,103.79823042550063,Yellow Box,20,N,POINT (103.79823042550063 1.2738966434532804),PORT
150,BUS STOP 15191,1.2758261693475206,103.7927505481923,Yellow Box,13,N,POINT (103.7927505481923 1.2758261693475206),PORT
151,BUS STOP 15201,1.2768850635236488,103.78957627451618,Yellow Box,10,N,POINT (103.78957627451618 1.2768850635236488),PORT
152,BUS STOP 15229,1.2793289109873835,103.785733688354,Yellow Box,10,N,POINT (103.785733688354 1.2793289109873835),PASIR PANJANG 1
153,BUS STOP 16101,1.2892666149619345,103.77967286394906,Yellow Box,20,N,POINT (103.77967286394906 1.2892666149619345),PASIR PANJANG 1
154,BUS STOP 16201,1.2812790645208116,103.7841417760326,Yellow Box,10,N,POINT (103.7841417760326 1.2812790645208116),PASIR PANJANG 1
155,BUS STOP 16231,1.2864133003421432,103.77848476647634,Yellow Box,10,N,POINT (103.77848476647634 1.2864133003421432),PORT
156,BUS STOP 16239,1.2865479806449105,103.7788645027676,Yellow Box,10,N,POINT (103.7788645027676 1.2865479806449105),PASIR PANJANG 1
157,BUS STOP 18011,1.2809778576075936,103.80199997352334,Yellow Box,10,N,POINT (103.80199997352334 1.2809778576075936),KENT RIDGE
158,BUS STOP 18019,1.280858231307244,103.8024859421086,Yellow Box,10,N,POINT (103.8024859421086 1.280858231307244),TELOK BLANGAH DRIVE
159,BUS STOP 18131,1.289169679888058,103.79219266286492,Yellow Box,10,N,POINT (103.79219266286492 1.289169679888058),KENT RIDGE
160,BUS STOP 18241,1.2909438736399477,103.78707154464438,Yellow Box,10,N,POINT (103.78707154464438 1.2909438736399477),KENT RIDGE
161,BUS STOP 18251,1.290722877839238,103.78843410488648,Yellow Box,10,N,POINT (103.78843410488648 1.290722877839238),KENT RIDGE
162,BUS STOP 18281,1.2874265930227498,103.79104382634684,Yellow Box,10,N,POINT (103.79104382634684 1.2874265930227498),KENT RIDGE
163,BUS STOP 18289,1.2873803719785593,103.791285246258,Yellow Box,16,N,POINT (103.791285246258 1.2873803719785593),KENT RIDGE
164,160106-1,1.280164397370585,103.82489193260368,HDB_RACKS,8,N,POINT (103.82489193260368 1.280164397370585),KAMPONG TIONG BAHRU
165,160115-1,1.2811825562443724,103.82654294488488,HDB_RACKS,8,N,POINT (103.82654294488488 1.2811825562443724),TIONG BAHRU STATION
166,160116-1,1.2813190142210449,103.8266035981174,HDB_RACKS,8,N,POINT (103.8266035981174 1.2813190142210449),TIONG BAHRU STATION
167,160147-1,1.2774603875428696,103.8310787179852,HDB_RACKS,3,N,POINT (103.8310787179852 1.2774603875428696),KAMPONG TIONG BAHRU
168,160147-2,1.2771896245171417,103.83102898752172,HDB_RACKS,4,N,POINT (103.83102898752172 1.2771896245171417),KAMPONG TIONG BAHRU
169,160149-1,1.2771958819660698,103.83218367704698,HDB_RACKS,2,N,POINT (103.83218367704698 1.2771958819660698),KAMPONG TIONG BAHRU
170,160149-2,1.2773825787081592,103.83142856697222,HDB_RACKS,3,N,POINT (103.83142856697222 1.2773825787081592),KAMPONG TIONG BAHRU
171,160149-3,1.2772861855213506,103.83168858344948,HDB_RACKS,7,N,POINT (103.83168858344948 1.2772861855213506),KAMPONG TIONG BAHRU
172,160150-1,1.2773071275711163,103.831471804721,HDB_RACKS,4,N,POINT (103.831471804721 1.2773071275711163),KAMPONG TIONG BAHRU
173,BUKIT MERAH CENTRAL BLOCK 166_YB,1.282866728740412,103.81761524817436,Yellow Box,11,Y,POINT (103.81761524817436 1.282866728740412),BUKIT MERAH
174,BUKIT MERAH VIEW BLOCK 129_A_YB,1.283743150248195,103.824131689546,Yellow Box,16,Y,POINT (103.824131689546 1.283743150248195),HENDERSON HILL
175,BUKIT MERAH VIEW BLOCK 129_B_YB,1.2835335047827263,103.82407082494268,Yellow Box,16,Y,POINT (103.82407082494268 1.2835335047827263),HENDERSON HILL
176,BUKIT PURMEI ROAD BLOCK 110_YB,1.2738763625642322,103.82699486831108,Yellow Box,12,Y,POINT (103.82699486831108 1.2738763625642322),TELOK BLANGAH RISE
177,HOY FATT ROAD BLOCK 50_YB,1.2874511591773787,103.81097417531376,Yellow Box,11,Y,POINT (103.81097417531376 1.2874511591773787),ALEXANDRA HILL
178,JALAN BUKIT MERAH BLOCK 117_YB,1.2816111743311311,103.82706047186872,Yellow Box,16,Y,POINT (103.82706047186872 1.2816111743311311),TIONG BAHRU STATION
179,JALAN BUKIT MERAH BLOCK 13_YB,1.2876557113933156,103.80720887090112,Yellow Box,12,Y,POINT (103.80720887090112 1.2876557113933156),ALEXANDRA HILL
180,JALAN BUKIT MERAH BLOCK 134_A_YB,1.2791663054811393,103.8276315928502,Yellow Box,16,Y,POINT (103.8276315928502 1.2791663054811393),KAMPONG TIONG BAHRU
181,JALAN BUKIT MERAH BLOCK 134_B_YB,1.278703452844483,103.82786964458516,Yellow Box,16,Y,POINT (103.82786964458516 1.278703452844483),KAMPONG TIONG BAHRU
182,JALAN BUKIT MERAH BLOCK 134_C_YB,1.2788658930293115,103.82759262168096,Yellow Box,18,Y,POINT (103.82759262168096 1.2788658930293115),KAMPONG TIONG BAHRU
183,JALAN BUKIT MERAH BLOCK 136_YB,1.2780990200828608,103.82742600600054,Yellow Box,16,Y,POINT (103.82742600600054 1.2780990200828608),KAMPONG TIONG BAHRU
