,Name,Description,geometry,within
29,Traffic light,,POINT Z (103.8678512 1.3277418 0),BENDEMEER
30,Traffic light,,POINT Z (103.8680547 1.32778 0),BENDEMEER
31,Traffic light,,POINT Z (103.8685939 1.3274447 0),GEYLANG BAHRU
32,Traffic light,,POINT Z (103.8686643 1.3273589 0),GEYLANG BAHRU
33,Traffic light (with bicycle crossing),,POINT Z (103.8696749 1.3134871 0),BOON KENG
34,Traffic light,,POINT Z (103.8652975 1.320705 0),BENDEMEER
35,Traffic light,,POINT Z (103.8634155 1.3219097 0),BENDEMEER
36,Traffic light,,POINT Z (103.8569062 1.3240436 0),BALESTIER
37,Traffic light,,POINT Z (103.8542893 1.3259369 0),BALESTIER
38,Traffic light (with bicycle crossing),,POINT Z (103.88832 1.3117306 0),ALJUNIED
39,Traffic light,,POINT Z (103.8921349 1.314919 0),ALJUNIED
40,Traffic light,,POINT Z (103.8923495 1.3151161 0),GEYLANG EAST
41,Traffic light,,POINT Z (103.8853053 1.3272911 0),MACPHERSON
42,Traffic light,,POINT Z (103.8259858 1.2927386 0),CHATSWORTH
43,Traffic light,,POINT Z (103.8187933 1.2922515 0),ALEXANDRA NORTH
44,Traffic light,,POINT Z (103.8157678 1.2931857 0),MARGARET DRIVE
45,Traffic light,,POINT Z (103.8428094 1.364371 0),SHANGRI-LA
46,Traffic light,,POINT Z (103.8441897 1.3667923 0),SHANGRI-LA
47,Traffic light,,POINT Z (103.8452875 1.3691184 0),KEBUN BAHRU
48,Traffic light,,POINT Z (103.8429593 1.3642219 0),MARYMOUNT
49,Overpass (with wheeling ramp),,POINT Z (103.8658628 1.3290509 0),POTONG PASIR
50,Traffic light (with bicycle crossing),,POINT Z (103.8660795 1.3252793 0),BENDEMEER
51,Traffic light (with bicycle crossing),,POINT Z (103.8671235 1.3234886 0),BENDEMEER
52,Steps (with wheeling ramp),,POINT Z (103.8653011 1.326366 0),BENDEMEER
53,Steps (with wheeling ramp),,POINT Z (103.8655782 1.3267529 0),BENDEMEER
54,Overpass (with ramp),,POINT Z (103.8583769 1.3239905 0),BALESTIER
55,Overpass (with ramp),,POINT Z (103.8494616 1.3296551 0),BALESTIER
56,Overpass (with wheeling ramp),,POINT Z (103.8752977 1.3203343 0),GEYLANG BAHRU
57,Overpass (with wheeling ramp),,POINT Z (103.8815005 1.322104 0),MACPHERSON
58,Traffic light,,POINT Z (103.8662595 1.4054221 0),SL - SELETAR
59,Traffic light,,POINT Z (103.8598246 1.4063469 0),SL - SELETAR
60,Traffic light,,POINT Z (103.8641917 1.4220039 0),SL - SELETAR
61,Traffic light,,POINT Z (103.8640087 1.4219932 0),LOWER SELETAR
62,Traffic light,,POINT Z (103.8283308 1.3679084 0),UPPER THOMSON
63,Footbridge,,POINT Z (103.8737537 1.2992003 0),TANJONG RHU
64,Overpass (with ramp),,POINT Z (103.883579 1.3047886 0),ALJUNIED
65,Traffic light,,POINT Z (103.7786287 1.4106479 0),CENTRAL WATER CATCHMENT
66,Traffic light,,POINT Z (103.8049878 1.4145688 0),CENTRAL WATER CATCHMENT
67,Traffic light,,POINT Z (103.8230688 1.4132675 0),SPRINGLEAF
68,Traffic light,,POINT Z (103.8294882 1.4101061 0),KHATIB
69,Traffic light,,POINT Z (103.8297685 1.4102535 0),KHATIB
70,Traffic light,,POINT Z (103.8298972 1.4100792 0),YISHUN SOUTH
71,Traffic light,,POINT Z (103.833583 1.4182787 0),KHATIB
72,Traffic light,,POINT Z (103.8349995 1.4227994 0),KHATIB
73,Traffic light,,POINT Z (103.8367709 1.4228165 0),YISHUN SOUTH
74,Traffic light (with bicycle crossing),,POINT Z (103.8446328 1.4335862 0),YISHUN EAST
75,Traffic light,,POINT Z (103.8263791 1.4479358 0),ADMIRALTY
76,Traffic light,,POINT Z (103.8285644 1.4451761 0),SEMBAWANG SPRINGS
77,Traffic light,,POINT Z (103.8327858 1.4382435 0),YISHUN WEST
78,Traffic light,,POINT Z (103.8344548 1.4346727 0),YISHUN WEST
79,Traffic light,,POINT Z (103.8352111 1.4304063 0),YISHUN WEST
80,Traffic light,,POINT Z (103.8348693 1.4229036 0),KHATIB
81,Traffic light,,POINT Z (103.8274923 1.4501491 0),ADMIRALTY
82,Traffic light,,POINT Z (103.8318471 1.4534537 0),ADMIRALTY
83,Traffic light,,POINT Z (103.8308461 1.441702 0),YISHUN WEST
84,Traffic light,,POINT Z (103.8320102 1.4534417 0),SEMBAWANG STRAITS
85,Traffic light,,POINT Z (103.8924376 1.3169181 0),GEYLANG EAST
86,Traffic light,,POINT Z (103.9003009 1.3183772 0),GEYLANG EAST
87,Traffic light,,POINT Z (103.9049929 1.3193583 0),KEMBANGAN
88,Traffic light,,POINT Z (103.9128057 1.3207419 0),KEMBANGAN
89,Overpass (with ramp),,POINT Z (103.9187322 1.3037091 0),EAST COAST
90,Traffic light (with bicycle crossing),,POINT Z (103.9184639 1.3074788 0),SIGLAP
91,Traffic light,,POINT Z (103.9172197 1.309964 0),FRANKEL
92,Traffic light,,POINT Z (103.9133178 1.3192296 0),KEMBANGAN
93,Traffic light,,POINT Z (103.9136825 1.320927 0),KEMBANGAN
94,Overpass (with ramp),,POINT Z (103.9107385 1.3281714 0),KAKI BUKIT
95,Overpass (with ramp),,POINT Z (103.9188351 1.3338232 0),KAKI BUKIT
96,Traffic light,,POINT Z (103.9334964 1.3356806 0),BEDOK RESERVOIR
97,Traffic light,,POINT Z (103.7953391 1.4231382 0),WOODLANDS SOUTH
98,Traffic light,,POINT Z (103.7948389 1.4225174 0),SUBZONE 1
99,Traffic light,,POINT Z (103.7884017 1.4124365 0),CENTRAL WATER CATCHMENT
100,Traffic light,,POINT Z (103.7610387 1.3795848 0),TECK WHYE
101,Underpass (with ramp),,POINT Z (103.8274409 1.402713 0),SPRINGLEAF
102,Traffic light,,POINT Z (103.8106311 1.2949325 0),MARGARET DRIVE
103,Traffic light,,POINT Z (103.8046876 1.2967569 0),MEI CHIN
104,Traffic light (with bicycle crossing),,POINT Z (103.8007718 1.2911539 0),MEI CHIN
105,Traffic light,,POINT Z (103.8041299 1.2875908 0),QUEENSWAY
106,Traffic light,,POINT Z (103.8043163 1.2874835 0),ALEXANDRA HILL
107,Traffic light,,POINT Z (103.8021918 1.2814509 0),DEPOT ROAD
108,Traffic light,,POINT Z (103.8231748 1.2910086 0),ALEXANDRA NORTH
109,Traffic light,,POINT Z (103.8233271 1.2908163 0),HENDERSON HILL
110,Traffic light,,POINT Z (103.8227303 1.2881166 0),HENDERSON HILL
111,Traffic light,,POINT Z (103.8203393 1.2833203 0),HENDERSON HILL
112,Traffic light,,POINT Z (103.8169494 1.2784147 0),TELOK BLANGAH WAY
113,Traffic light,,POINT Z (103.9886356 1.3166119 0),CHANGI AIRPORT
114,Traffic light,,POINT Z (104.0151811 1.3164013 0),CHANGI AIRPORT
115,Traffic light,,POINT Z (104.0262742 1.3608408 0),CHANGI AIRPORT
116,Traffic light,,POINT Z (104.0047551 1.3730254 0),CHANGI AIRPORT
117,Traffic light,,POINT Z (103.8262977 1.4481508 0),ADMIRALTY
118,Traffic light,,POINT Z (103.8215624 1.4496822 0),ADMIRALTY
119,Traffic light,,POINT Z (103.8185426 1.4488626 0),SEMBAWANG CENTRAL
120,Traffic light,,POINT Z (103.8144682 1.4479372 0),SEMBAWANG CENTRAL
121,Traffic light,,POINT Z (103.8120676 1.447383 0),SEMBAWANG CENTRAL
122,Traffic light,,POINT Z (103.8083524 1.4456068 0),WOODLANDS EAST
123,Traffic light,,POINT Z (103.8048135 1.4425644 0),WOODLANDS EAST
124,Traffic light,,POINT Z (103.8019216 1.441324 0),WOODLANDS EAST
125,Traffic light,,POINT Z (103.80181 1.4412237 0),WOODLANDS EAST
126,Traffic light,,POINT Z (103.7956948 1.4391054 0),MIDVIEW
127,Traffic light,,POINT Z (103.7889293 1.4380665 0),WOODLANDS REGIONAL CENTRE
128,Traffic light,,POINT Z (103.7876128 1.4321619 0),WOODGROVE
129,Traffic light,,POINT Z (103.7877389 1.4320574 0),WOODLANDS SOUTH
130,Traffic light,,POINT Z (103.7883274 1.4348189 0),WOODGROVE
131,Traffic light,,POINT Z (103.7887284 1.4381288 0),WOODLANDS REGIONAL CENTRE
132,Traffic light,,POINT Z (103.7871003 1.4395739 0),WOODLANDS REGIONAL CENTRE
133,Traffic light,,POINT Z (103.7849907 1.4410165 0),WOODLANDS REGIONAL CENTRE
134,Traffic light,,POINT Z (103.7849518 1.4412149 0),WOODLANDS REGIONAL CENTRE
135,Traffic light,,POINT Z (103.7958047 1.4392299 0),WOODLANDS EAST
136,Traffic light,,POINT Z (103.7954315 1.441721 0),WOODLANDS EAST
137,Traffic light,,POINT Z (103.7925347 1.4460744 0),WOODLANDS EAST
138,Traffic light,,POINT Z (103.7924032 1.4461736 0),SENOKO WEST
139,Traffic light,,POINT Z (103.7791135 1.4510247 0),NORTH COAST
140,Traffic light,,POINT Z (103.8790376 1.3958831 0),JALAN KAYU EAST
141,Traffic light (with bicycle crossing),,POINT Z (103.9251313 1.338229 0),BEDOK RESERVOIR
142,Overpass (with ramp),,POINT Z (103.925234 1.3348887 0),BEDOK NORTH
143,Traffic light,,POINT Z (103.9264052 1.3295905 0),KEMBANGAN
144,Traffic light,,POINT Z (103.926762 1.3266351 0),KEMBANGAN
145,Traffic light,,POINT Z (103.9272031 1.3234871 0),FRANKEL
146,Traffic light,,POINT Z (103.9273354 1.3233481 0),FRANKEL
147,Traffic light,,POINT Z (103.9318829 1.3240044 0),BEDOK SOUTH
148,Traffic light,,POINT Z (103.9329523 1.318905 0),BEDOK SOUTH
149,Traffic light,,POINT Z (103.9337871 1.3141371 0),BAYSHORE
150,Traffic light,,POINT Z (103.9336945 1.3140272 0),BAYSHORE
151,Traffic light,,POINT Z (103.9342064 1.3114261 0),SIGLAP
152,Traffic light,,POINT Z (103.9520591 1.3302203 0),XILIN
153,Traffic light,,POINT Z (103.949611 1.3338501 0),SIMEI
154,Traffic light,,POINT Z (103.943708 1.3360807 0),SIMEI
155,Overpass (with ramp),,POINT Z (103.9407656 1.3363985 0),TAMPINES WEST
156,Traffic light,,POINT Z (103.9330922 1.3379826 0),BEDOK RESERVOIR
157,Traffic light,,POINT Z (103.7703012 1.3490662 0),NATURE RESERVE
158,Traffic light (with bicycle crossing),,POINT Z (103.8434602 1.4311824 0),YISHUN EAST
159,Traffic light (with bicycle crossing),,POINT Z (103.9281271 1.3131421 0),FRANKEL
160,Traffic light,,POINT Z (103.938222 1.3447911 0),TAMPINES WEST
161,Traffic light,,POINT Z (103.9383749 1.3449399 0),TAMPINES WEST
162,Traffic light,,POINT Z (103.9428501 1.3464643 0),TAMPINES EAST
163,Traffic light (with bicycle crossing),,POINT Z (103.945697 1.3524691 0),TAMPINES EAST
164,Traffic light,,POINT Z (103.9461677 1.3543904 0),TAMPINES EAST
165,Traffic light,,POINT Z (103.9461478 1.3567468 0),TAMPINES EAST
166,Traffic light,,POINT Z (103.7679233 1.3633032 0),NATURE RESERVE
167,Traffic light,,POINT Z (103.7677758 1.3633234 0),NATURE RESERVE
168,Traffic light,,POINT Z (103.7672192 1.3619495 0),HILLVIEW
169,Traffic light,,POINT Z (103.7671743 1.361801 0),HILLVIEW
170,Traffic light,,POINT Z (103.7670536 1.3617595 0),HILLVIEW
171,Traffic light,,POINT Z (103.7637286 1.358943 0),HILLVIEW
172,Traffic light (with bicycle crossing),,POINT Z (103.9442179 1.3603446 0),TAMPINES EAST
173,Overpass (with ramp),,POINT Z (103.9539945 1.3653683 0),PASIR RIS DRIVE
174,Footbridge,,POINT Z (103.9536659 1.3662402 0),PASIR RIS DRIVE
175,Traffic light (with bicycle crossing),,POINT Z (103.9538282 1.3692702 0),PASIR RIS TOWN
176,Traffic light (with bicycle crossing),,POINT Z (103.9524192 1.3750041 0),PASIR RIS TOWN
177,Traffic light,,POINT Z (103.9380553 1.3605433 0),TAMPINES NORTH
178,Traffic light,,POINT Z (103.9346661 1.360546 0),TAMPINES NORTH
179,Traffic light,,POINT Z (103.9262412 1.3501275 0),TAMPINES WEST
180,Traffic light,,POINT Z (103.9485535 1.3490653 0),TAMPINES EAST
181,Traffic light,,POINT Z (103.9508895 1.3497448 0),TAMPINES EAST
182,Traffic light,,POINT Z (103.9547034 1.3522566 0),TAMPINES EAST
183,Traffic light,,POINT Z (103.7600155 1.3516932 0),HILLVIEW
184,Traffic light,,POINT Z (103.7556475 1.3512345 0),BUKIT BATOK EAST
185,Traffic light,,POINT Z (103.7571525 1.3485595 0),BUKIT BATOK EAST
186,Traffic light,,POINT Z (103.7562074 1.3475749 0),BUKIT BATOK EAST
187,Traffic light,,POINT Z (103.7561752 1.3473656 0),BUKIT BATOK CENTRAL
188,Steps (with wheeling ramp),,POINT Z (103.7571502 1.3454149 0),BUKIT BATOK CENTRAL
189,Traffic light,,POINT Z (103.7575383 1.3453576 0),BUKIT BATOK SOUTH
190,Traffic light,,POINT Z (103.7544712 1.3440622 0),BUKIT BATOK SOUTH
191,Traffic light,,POINT Z (103.7712195 1.3189468 0),ULU PANDAN
192,Traffic light,,POINT Z (103.7487449 1.336491 0),TOH GUAN
193,Traffic light,,POINT Z (103.7515221 1.3580464 0),GUILIN
194,Traffic light,,POINT Z (103.7492201 1.3565224 0),GUILIN
195,Traffic light,,POINT Z (103.7491262 1.3566364 0),HONG KAH
