MRT.Name,Latitude,Longitude,time_difference,distance,steepness,suitability,approximated?,Weighted_Score,rank
BENDEMEER MRT STATION,1.313672528,103.8629776,4.583333333333334,0.9208000000000001,0.0,6.099638001659729,0.0,6.528883734661117,119
DAKOTA MRT STATION,1.308547984,103.8890647,2.2666666672666667,0.792,0.0,7.21593923092058,0.0,6.521018051643131,120
KOVAN MRT STATION,1.360179171,103.8850649,4.013333333333334,0.5602,0.2,6.2960951477438565,0.0,6.510169451528419,121
WOODLANDS MRT STATION,1.436057617,103.7879388,1.9033333326666668,1.4122,0.0,7.534663100434097,0.0,6.5066238134139445,122
CLEMENTI MRT STATION,1.315116253,103.7651915,3.6433333336,0.722,0.2,6.493185433814574,0.0,6.48748168049166,123
RIVIERA LRT STATION,1.394519785,103.9161694,2.6899999993333323,1.0257999999999998,0.0,7.0079591212020915,0.0,6.477207296695006,124
PUNGGOL LRT STATION,1.405194701,103.9024119,2.2266666666666666,0.638,0.2,7.145625640186642,0.0,6.459567178815981,125
SIMEI MRT STATION,1.343197079,103.9533772,1.8033333333333335,0.6364,0.4,7.375356092859422,0.0,6.4543382076208715,126
OUTRAM PARK MRT STATION,1.279739707,103.8395135,4.1899999997999995,0.6355999999999999,0.4,6.175669934523122,0.0,6.4494159475384985,127
BOON KENG MRT STATION,1.319939577,103.8620527,2.8266666668,0.518,0.0,6.764456976559383,0.0,6.438632247967506,128
BEDOK MRT STATION,1.32398,103.9299845,3.4666666674666664,1.1388,0.0,6.5808052246273885,0.0,6.423550846688578,129
BUKIT BATOK MRT STATION,1.349033312,103.7495665,2.4566666666000003,0.9242000000000001,0.0,7.025381038166097,0.0,6.418131497172878,130
EUNOS MRT STATION,1.319783549,103.9032258,1.8233333339333329,0.9666,0.0,7.333278229766426,0.0,6.402635917386474,131
NOVENA MRT STATION,1.320440791,103.8438256,3.4100000001333326,1.0413999999999999,0.0,6.526322349809888,0.0,6.376777879901244,132
JELAPANG LRT STATION,1.38673927,103.7645341,2.9200000000000004,0.6712,0.6,6.705406774885006,0.0,6.338085419908006,133
MOUNTBATTEN MRT STATION,1.306201905,103.8825281,2.5333333333333323,0.834,0.0,6.864351286086529,0.0,6.338014362202557,134
PASIR PANJANG MRT STATION,1.276213522,103.7913503,4.006666666666666,0.7686,0.8,6.206993635534607,0.0,6.334541575094352,135
ROCHOR MRT STATION,1.303852185,103.8527694,4.1600000001333335,0.7294,0.2,6.043672823121613,0.0,6.333058258550624,136
TOA PAYOH MRT STATION,1.332596728,103.8475773,2.5399999999333334,1.0248000000000002,0.0,6.899630744982728,0.0,6.3307445959595166,137
KEMBANGAN MRT STATION,1.321038134,103.9129479,1.6733333332666667,0.7196,0.0,7.153330151276506,0.0,6.248077454327872,138
CHINESE GARDEN MRT STATION,1.342244948,103.7327666,2.4333333335999994,1.2692,0.0,6.876420258020184,0.0,6.220629539856148,139
ANG MO KIO MRT STATION,1.369428557,103.8494552,3.2700000002000005,0.8558,0.6666666666666666,6.392719632270128,2.0,6.184349039229437,140
