,PLANNING_A,PLANNING_1,geometry,within
121,,HOUGANG,"LINESTRING (103.89259454540367 1.3797941025859444, 103.89265540568861 1.3797173033965173, 103.89265615517436 1.3796477930774664, 103.89265682935181 1.3795852201343788, 103.89265730178143 1.3794674945744871, 103.89268130101581 1.3792915509136379, 103.89268585984485 1.3790524243683784, 103.89269002162979 1.3788546299682323, 103.89268892480074 1.3787227873291978)",TRAFALGAR
122,,SEMBAWANG,"LINESTRING (103.81833281732492 1.4509668135044014, 103.81831855926313 1.4509596146747867)",SEMBAWANG CENTRAL
123,,SEMBAWANG,"LINESTRING (103.81811305878831 1.4508563006014983, 103.81801102651245 1.4508088081572268, 103.81799451660835 1.4507940786743236, 103.81796961481143 1.4507578198535804)",SEMBAWANG CENTRAL
124,,SEMBAWANG,"LINESTRING (103.8162447287624 1.4547130334709004, 103.81610435631814 1.4546978092446452, 103.81608443150594 1.4547096246017013, 103.81548445820832 1.454644978710998, 103.81545131334417 1.4546318262873943, 103.81534745111789 1.4546201347488512)",SEMBAWANG NORTH
125,,SEMBAWANG,"LINESTRING (103.82146704756994 1.4494107208446638, 103.82148010333682 1.4494116560254817, 103.82149414758757 1.4494081815342568, 103.82150754669595 1.4493944678343456, 103.82152687058965 1.449320869917758, 103.82152793994571 1.44931679757387)",SEMBAWANG CENTRAL
126,,BEDOK,"LINESTRING (103.9231696494929 1.3235465186434956, 103.92333438617501 1.323014594050813)",KEMBANGAN
127,,BEDOK,"LINESTRING (103.94445362137179 1.319904919072215, 103.94444534066946 1.3199327837713246)",BEDOK SOUTH
128,,PASIR RIS,"LINESTRING (103.94030892197476 1.3805116881920716, 103.9403107424145 1.380510150693202, 103.94049167667947 1.380357303404088, 103.94050237647875 1.3803482647188945)",ELIAS
129,,PASIR RIS,"LINESTRING (103.95693094074312 1.3706888045407937, 103.95693092434878 1.3706845115344475, 103.95693059918659 1.3705992121119195, 103.95693057642262 1.370593365411712)",PASIR RIS DRIVE
130,,PASIR RIS,"LINESTRING (103.95610313867796 1.369289486158025, 103.95595503074509 1.3693140490286704, 103.9557781893147 1.3693389850603088, 103.95563585075803 1.3693572017054298, 103.95540759596479 1.3693825165638855, 103.95536544521784 1.3693861985734455)",PASIR RIS DRIVE
131,,PASIR RIS,"LINESTRING (103.95688849181447 1.369608224179606, 103.95689748256348 1.3698124124134161)",PASIR RIS DRIVE
132,,PASIR RIS,"LINESTRING (103.95873237991113 1.3650058018118245, 103.95881823396088 1.364946548923841, 103.95885596965543 1.3649195933328975, 103.95891924860665 1.3649044021507826, 103.95895453314311 1.3648800060320883)",PASIR RIS DRIVE
